l0,l1,l2,n1,n2,u1,u2,youtube_id,mp4_id,png_id
early-math,cc-early-math-counting-topic,cc-early-math-counting,Counting,Counting,https://es.khanacademy.org/math/early-math/cc-early-math-counting-topic,https://es.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-counting,https://www.youtube.com/watch?v=fEgh1fi_pyQ,https://cdn.kastatic.org/KA-youtube-converted/fEgh1fi_pyQ.mp4/fEgh1fi_pyQ.mp4,https://cdn.kastatic.org/KA-youtube-converted/fEgh1fi_pyQ.mp4/fEgh1fi_pyQ.png
early-math,cc-early-math-counting-topic,cc-early-math-counting,Counting,Counting,https://es.khanacademy.org/math/early-math/cc-early-math-counting-topic,https://es.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-counting,https://www.youtube.com/watch?v=UkGIKRPafII,https://cdn.kastatic.org/KA-youtube-converted/UkGIKRPafII.mp4/UkGIKRPafII.mp4,https://cdn.kastatic.org/KA-youtube-converted/UkGIKRPafII.mp4/UkGIKRPafII.png
early-math,cc-early-math-counting-topic,cc-early-math-numbers-120,Counting,Numbers 0 to 120,https://es.khanacademy.org/math/early-math/cc-early-math-counting-topic,https://es.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-numbers-120,https://www.youtube.com/watch?v=IkzzUQD4kuU,https://cdn.kastatic.org/KA-youtube-converted/IkzzUQD4kuU.mp4/IkzzUQD4kuU.mp4,https://cdn.kastatic.org/KA-youtube-converted/IkzzUQD4kuU.mp4/IkzzUQD4kuU.png
early-math,cc-early-math-counting-topic,cc-early-math-numbers-120,Counting,Numbers 0 to 120,https://es.khanacademy.org/math/early-math/cc-early-math-counting-topic,https://es.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-numbers-120,https://www.youtube.com/watch?v=5uKEDgGakTU,https://cdn.kastatic.org/KA-youtube-converted/5uKEDgGakTU.mp4/5uKEDgGakTU.mp4,https://cdn.kastatic.org/KA-youtube-converted/5uKEDgGakTU.mp4/5uKEDgGakTU.png
early-math,cc-early-math-counting-topic,cc-early-math-count-object-topic,Counting,Counting objects,https://es.khanacademy.org/math/early-math/cc-early-math-counting-topic,https://es.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-count-object-topic,https://www.youtube.com/watch?v=ifIrWXKMjns,https://cdn.kastatic.org/KA-youtube-converted/ifIrWXKMjns.mp4/ifIrWXKMjns.mp4,https://cdn.kastatic.org/KA-youtube-converted/ifIrWXKMjns.mp4/ifIrWXKMjns.png
early-math,cc-early-math-counting-topic,cc-early-math-count-object-topic,Counting,Counting objects,https://es.khanacademy.org/math/early-math/cc-early-math-counting-topic,https://es.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-count-object-topic,https://www.youtube.com/watch?v=8dGFBkOPOCc,https://cdn.kastatic.org/KA-youtube-converted/8dGFBkOPOCc.mp4/8dGFBkOPOCc.mp4,https://cdn.kastatic.org/KA-youtube-converted/8dGFBkOPOCc.mp4/8dGFBkOPOCc.png
early-math,cc-early-math-counting-topic,cc-early-math-count-object-topic,Counting,Counting objects,https://es.khanacademy.org/math/early-math/cc-early-math-counting-topic,https://es.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-count-object-topic,https://www.youtube.com/watch?v=y7-Fveg6e-A,https://cdn.kastatic.org/KA-youtube-converted/y7-Fveg6e-A.mp4/y7-Fveg6e-A.mp4,https://cdn.kastatic.org/KA-youtube-converted/y7-Fveg6e-A.mp4/y7-Fveg6e-A.png
early-math,cc-early-math-counting-topic,cc-early-math-comparing-numbers,Counting,Comparing small numbers,https://es.khanacademy.org/math/early-math/cc-early-math-counting-topic,https://es.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-comparing-numbers,https://www.youtube.com/watch?v=V94Po5OpUDo,https://cdn.kastatic.org/KA-youtube-converted/V94Po5OpUDo.mp4/V94Po5OpUDo.mp4,https://cdn.kastatic.org/KA-youtube-converted/V94Po5OpUDo.mp4/V94Po5OpUDo.png
early-math,cc-early-math-counting-topic,cc-early-math-comparing-numbers,Counting,Comparing small numbers,https://es.khanacademy.org/math/early-math/cc-early-math-counting-topic,https://es.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-comparing-numbers,https://www.youtube.com/watch?v=xpN-wvSwKdM,https://cdn.kastatic.org/KA-youtube-converted/xpN-wvSwKdM.mp4/xpN-wvSwKdM.mp4,https://cdn.kastatic.org/KA-youtube-converted/xpN-wvSwKdM.mp4/xpN-wvSwKdM.png
early-math,cc-early-math-counting-topic,cc-early-math-comparing-numbers,Counting,Comparing small numbers,https://es.khanacademy.org/math/early-math/cc-early-math-counting-topic,https://es.khanacademy.org/math/early-math/cc-early-math-counting-topic/cc-early-math-comparing-numbers,https://www.youtube.com/watch?v=94IaEV2z1iM,https://cdn.kastatic.org/KA-youtube-converted/94IaEV2z1iM.mp4/94IaEV2z1iM.mp4,https://cdn.kastatic.org/KA-youtube-converted/94IaEV2z1iM.mp4/94IaEV2z1iM.png
early-math,cc-early-math-add-sub-basics,cc-early-math-add-sub-intro,Addition and subtraction intro,What is addition? What is subtraction?,https://es.khanacademy.org/math/early-math/cc-early-math-add-sub-basics,https://es.khanacademy.org/math/early-math/cc-early-math-add-sub-basics/cc-early-math-add-sub-intro,https://www.youtube.com/watch?v=5P1rrkr02dk,https://cdn.kastatic.org/KA-youtube-converted/5P1rrkr02dk.mp4/5P1rrkr02dk.mp4,https://cdn.kastatic.org/KA-youtube-converted/5P1rrkr02dk.mp4/5P1rrkr02dk.png
early-math,cc-early-math-add-sub-basics,cc-early-math-add-sub-intro,Addition and subtraction intro,What is addition? What is subtraction?,https://es.khanacademy.org/math/early-math/cc-early-math-add-sub-basics,https://es.khanacademy.org/math/early-math/cc-early-math-add-sub-basics/cc-early-math-add-sub-intro,https://www.youtube.com/watch?v=Xu75CEE_SXI,https://cdn.kastatic.org/KA-youtube-converted/Xu75CEE_SXI.mp4/Xu75CEE_SXI.mp4,https://cdn.kastatic.org/KA-youtube-converted/Xu75CEE_SXI.mp4/Xu75CEE_SXI.png
